id,total,actual
3INZSNUD8043GJG8O4N6JLM4IWDD93,5,5
3PN6H8C9R44HL2QDGA16FGXOOEVDAI,5,5
3OZ4VAIBEXTEGCT311EDE16EE8TVJF,5,5
36FQTHX3Z35OMKT8TZVQXIVIFJS3B6,5,5
36JW4WBR06YTT9CNDM6OK2NDDM1FH6,5,5
3PUV2Q8SV4IM4CV5MO12ARHU6WGDBD,5,5
3X7837UUADCT1ME20T6529QFXF3J6D,5,5
37PGLWGSJTK45QFLKFF60RGXLVXIK4,5,5
3ZQX1VYFTDJU6BON9LV8UJ3S2438O7,5,5
33IXYHIZB5WX8599ZQJBFGWBC25E26,5,5
38DCH97KHHGMB4XMF2K38E76XGEQJG,5,5
3CO05SML7VJFLZB069ZXVZ2FUTB0RL,5,5
362E9TQF2H4Z34J2UOUR2ZO4EEHGI0,5,5
31JUPBOORNIM0QLQWTFG22ZY7ZXL82,5,5
3D4BBDG7ZHA7WPLE7ZRL8210X4S3CD,5,5
3L21G7IH47AOPP84GNVRH0EM28VY1N,5,5
3G9UA71JVV8C5MS7J3BX8NQBSQNJ7C,5,5
3H5TOKO3D9X3Y4VHXMJ1W71WFID649,5,5
3CKVGCS3PGJRMEBDLYZ2L97BGVU0S9,5,5
3U18MJKL1U0E0TEOPIB0HGZ62LINCC,5,5
3RWB1RTQDJ1CRB0OOL8NJJ8IC9Z8PO,5,5
3GKAWYFRAP7O86WF5TJ35BMJN6ZPDQ,7,6
3HXK2V1N4KTVSJ505L9ZFJHNPOOG25,7,7
3DQYSJDTYLPY9LC6NF4456Q7PH9EXW,7,5
31MCUE39BK0KD11J9LN4YTMFV2OG3G,7,4
33K3E8REWW9H0K2FACI4DWULEEBX8G,7,5
3ICOHX7ENCPQCV6VK3FXWS3WFAP0EO,7,5
3OND0WXMHWT1NVCRIBMI2K2D1RQHE6,7,4
3G4VVJO6PZUWMC2PXA5Q9OH97FWPK3,7,7
3UV0D2KX1MXZHXOSYFM5QDE98NJ4FP,7,7
3TZDZ3Y0JSK9OO0W8B3BIJLVT5O19R,7,4
36U4VBVNQORV1LNG4GDHK6QMAOSRU4,7,6
3VQTAXTYN3Z8LE6R8JRRKRLIS2PBUB,7,7
3XH7ZM9YX28XHTZD65IQOA38X3HR9C,7,7
37PGLWGSJTK45QFLKFF60RGXL1CKIX,7,7
3OCZWXS7ZOL3D82OYV8DQIP75HVL5F,7,7
3AQN9REUTFUIHKOGWGFMI2FVRDGYDB,1,1
3LN50BUKPVP76IK7IAHROOUOWHFLPK,1,1
3S8APUMBJXXJ2W91DUWSYRKFIHFBFL,1,1
3QE4DGPGBRP5VXKN9ZSN8YEL94XG4I,2,2
3N5YJ55YXGHQ7EHQ54F9BL9I2QFANV,3,2
39WSF6KUV2ZBFCYEMOH8MTZEDFIOEJ,2,2
3ZFRE2BDQ9SWKG32J2IHQGRPDPVZX4,2,2
3V8JSVE8YY4N9Q2GSBQ6OKXGRPHYE4,3,3
3SX4X51T80N8PZH26JFMQA9NS0KAOA,5,5
3PUV2Q8SV4IM4CV5MO12ARHU64YDBB,2,2
3I6NF2WGIGANRGONN4BXDQKZ90SG5N,2,2
3PA41K45VNI8RXV5EGGH5JCN1XA7PX,3,3
3VO4XFFP150TR9WKETV65O2X6TW7QO,3,3
