id,cost,duration
3INZSNUD8043GJG8O4N6JLM4IWDD93,0.05,30.13
3PN6H8C9R44HL2QDGA16FGXOOEVDAI,0.05,29.37
3OZ4VAIBEXTEGCT311EDE16EE8TVJF,0.05,32.0
36FQTHX3Z35OMKT8TZVQXIVIFJS3B6,0.05,31.88
36JW4WBR06YTT9CNDM6OK2NDDM1FH6,0.05,31.8
3PUV2Q8SV4IM4CV5MO12ARHU6WGDBD,0.05,31.48
3X7837UUADCT1ME20T6529QFXF3J6D,0.05,31.28
37PGLWGSJTK45QFLKFF60RGXLVXIK4,0.05,31.13
3ZQX1VYFTDJU6BON9LV8UJ3S2438O7,0.05,30.95
33IXYHIZB5WX8599ZQJBFGWBC25E26,0.05,30.65
38DCH97KHHGMB4XMF2K38E76XGEQJG,0.05,30.3
3CO05SML7VJFLZB069ZXVZ2FUTB0RL,0.05,30.02
362E9TQF2H4Z34J2UOUR2ZO4EEHGI0,0.05,11.8
31JUPBOORNIM0QLQWTFG22ZY7ZXL82,0.05,12.05
3D4BBDG7ZHA7WPLE7ZRL8210X4S3CD,0.05,11.13
3L21G7IH47AOPP84GNVRH0EM28VY1N,0.05,10.7
3G9UA71JVV8C5MS7J3BX8NQBSQNJ7C,0.05,10.47
3H5TOKO3D9X3Y4VHXMJ1W71WFID649,0.05,10.22
3CKVGCS3PGJRMEBDLYZ2L97BGVU0S9,0.05,10.0
3U18MJKL1U0E0TEOPIB0HGZ62LINCC,0.05,9.27
3RWB1RTQDJ1CRB0OOL8NJJ8IC9Z8PO,0.05,9.02
3GKAWYFRAP7O86WF5TJ35BMJN6ZPDQ,0.02,3.15
3HXK2V1N4KTVSJ505L9ZFJHNPOOG25,0.02,8.95
3DQYSJDTYLPY9LC6NF4456Q7PH9EXW,0.02,2.98
31MCUE39BK0KD11J9LN4YTMFV2OG3G,0.02,22.9
33K3E8REWW9H0K2FACI4DWULEEBX8G,0.02,24.95
3ICOHX7ENCPQCV6VK3FXWS3WFAP0EO,0.02,44.95
